,emisor,mencionado,texto,rt,localizacion,texto_limpio
0,Postematico,,⚠️ Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/MI8NnKk96Q,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30
1,2016carranque,CienciaOn,RT @CienciaOn: Confirmado: viajar a la velocidad de la luz retrasa el envejecimiento https://t.co/aWbVbPdbnZ,True,"Comunidad de Madrid, España",Confirmado viajar a la velocidad de la luz retrasa el envejecimiento
2,unsamwich,,"Dicen que tener las orejas grandes es signo de longevidad. 

Voy a la cocina a por unas tijeras.",False,"Marbella, España","Dicen que tener las orejas grandes es signo de longevidad 

Voy a la cocina a por unas tijeras"
3,LaresAndalucia,Laresmayores,"RT @Laresmayores: Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto:…",True,,Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto…
4,KoldoMendi,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,"Madrid, Comunidad de Madrid",El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…
5,InfoTextual,,🔰 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/BPUHkPFiTY,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad
6,CruzRojaMurcia,"CRAlicante, CruzRojaEsp",RT @CRAlicante: Para cuidar a la familia y especialmente a las #personasmayores en @CruzRojaEsp hemos recopilado estos consejos para combat…,True,Región de Murcia (España),Para cuidar a la familia y especialmente a las personasmayores en  hemos recopilado estos consejos para combat…
7,GiraInformativa,,⚠️ Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/vJszWBAuTi,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad
8,arturo soriaP,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,España,El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…
9,CruzRojaLP,,"Lo somos todo para nuestros padres y madres, por eso cuando llega la vejez, debemos demostrarles nuestro cariño con respeto y empatía.
#ProtegerLosDerechos #YoSiempreTeTrataréBien #YoSiempreTeCuidaré #BuenTrato #PersonasMayores https://t.co/BGakKcMbu4",False,Las Palmas,"Lo somos todo para nuestros padres y madres por eso cuando llega la vejez debemos demostrarles nuestro cariño con respeto y empatía
ProtegerLosDerechos YoSiempreTeTrataréBien YoSiempreTeCuidaré BuenTrato PersonasMayores"
10,La danseuse,kunstmacher ,"@kunstmacher_ Pero además Japón tiene una tasa de envejecimiento barbarísima. O sea, no son jóvenes viviendo solos, son ancianos. Doloroso, triste y grave.",False,Siempre en el salón de baile,Pero además Japón tiene una tasa de envejecimiento barbarísima O sea no son jóvenes viviendo solos son ancianos Doloroso triste y grave
11,Tuiterricolas,,⚠️ ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/Au0zLOfASh,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad
12,ogonzalvez,Laresmayores,"RT @Laresmayores: Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto:…",True,"Ontinyent, España",Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto…
13,TuitReportes,,"⚠️ Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/tVGCbyq5ZF",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio
14,CheloSanchezS,Laresmayores,"RT @Laresmayores: Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto:…",True,SA,Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto…
15,diariodecuba,,"#Cuba: Baja natalidad, envejecimiento poblacional y falta de medidas para enfrentar estos fenómenos. https://t.co/dwo5BWMfPg",False,"Madrid, España",Cuba Baja natalidad envejecimiento poblacional y falta de medidas para enfrentar estos fenómenos
16,GrandesMedios,,💡 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/Q7Qvekzgvw,False,"Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro
17,Laresmayores,Nutricia es,"Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto: Protocolo de #prevención, #detección e #intervención frente a los malos tratos a #personasmayores. @Nutricia_es 

#IXPremiosLares 🏆 https://t.co/beupU02FCH",False,España,"Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto Protocolo de prevención detección e intervención frente a los malos tratos a personasmayores  

IXPremiosLares"
18,vitalia group,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,España. México. Brasil. Asia,El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…
