,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,Fanny Cadenas,MarcoGomezMD,"RT @MarcoGomezMD: Ingredientes de la fórmula para retrasar el envejecimiento y sus estigmas. Tomen nota:

1. Dormir mínimo 6 horas diarias.…",True,,"Ingredientes de la fórmula para retrasar el envejecimiento y sus estigmas Tomen nota

1 Dormir mínimo 6 horas diarias…",0.0
1,Lecturas24H,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/RR76Kp75cu,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
2,  Felipe C,sninobecerra,RT @sninobecerra: El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,True,,El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,-0.5423
3,fidis research,"acrujeirasm, lavozdegalicia, VegalsaEroski",RT @acrujeirasm: Siguiendo con las #mesassaludables de @lavozdegalicia y @VegalsaEroski mi conferencia de ayer sobre #Dietaatlántica  y #ep…,True,Santiago de Compostela - Lugo,Siguiendo con las mesassaludables de  y  mi conferencia de ayer sobre Dietaatlántica  y ep…,0.0
4,pitumerchita,labonitabicho,"RT @labonitabicho: El envejecimiento reducirá la renta de cada español en 6.500 euros hasta 2050 https://t.co/WX1L8Tw72r ,vox no quiere inm…",True,,El envejecimiento reducirá la renta de cada español en 6500 euros hasta 2050  vox no quiere inm…,-0.0572
5,TuitSugerido,,"🔰 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/TtweZWlVQ1",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
6,GacetaMadrid,,⚠️ Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/o3NYGriOGP,False,"Comunidad de Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
7,Dajso,,Supongo que la mala situación económica debe ser un factor que genera acelera el envejecimiento y multiplica constantemente los niveles de estrés. 🧐,False,Perú,Supongo que la mala situación económica debe ser un factor que genera acelera el envejecimiento y multiplica constantemente los niveles de estrés,-0.6124
8,summum,,"Temperatura, champú, alimentación... ¿qué estás haciendo mal? En #Summum te lo contamos #pelo #cabello #calvicie #envejecimiento #belleza #beauty #lifestyle #healthy  https://t.co/kbnSz98iIY",False,,Temperatura champú alimentación ¿qué estás haciendo mal En Summum te lo contamos pelo cabello calvicie envejecimiento belleza beauty lifestyle healthy,0.802
9,annamariasastre,sninobecerra,RT @sninobecerra: El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,True,,El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,-0.5423
10,JLuis Sommelier,,La #crianza es un proceso largo y complejo cuyo objetivo es conferir unas características diferentes al #vino. El  punto de partida de la crianza es un vino ya perfectamente apto para el consumo pero con la posibilidad de ver mejoradas sus cualidades mediante el envejecimiento.,False,España   ,La crianza es un proceso largo y complejo cuyo objetivo es conferir unas características diferentes al vino El  punto de partida de la crianza es un vino ya perfectamente apto para el consumo pero con la posibilidad de ver mejoradas sus cualidades mediante el envejecimiento,0.3818
11,anamariaifran,PQEGroupES,"RT @PQEGroupES: La #vejez nos afecta a todos, sin embargo un cambio en los #paradigmas médicos esta generando ver la vejez como una #enferm…",True,Argentina,La vejez nos afecta a todos sin embargo un cambio en los paradigmas médicos esta generando ver la vejez como una enferm…,0.0
12,ractuiter,sninobecerra,RT @sninobecerra: El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,True,Catalunya,El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,-0.5423
13,BeaArroyoCom,elpais economia,RT @elpais_economia: El envejecimiento demográfico de España y sus efectos negativos harán que en términos generales el crecimiento real de…,True,"Madrid, España",El envejecimiento demográfico de España y sus efectos negativos harán que en términos generales el crecimiento real de…,-0.2732
14,acrujeirasm,"lavozdegalicia, VegalsaEroski",Siguiendo con las #mesassaludables de @lavozdegalicia y @VegalsaEroski mi conferencia de ayer sobre #Dietaatlántica  y #epigenetica en la prevención de la #obesidad y el #cáncer en #Carballo.  https://t.co/feEWDXudRu,False,,Siguiendo con las mesassaludables de  y  mi conferencia de ayer sobre Dietaatlántica  y epigenetica en la prevención de la obesidad y el cáncer en Carballo,-0.6597
15,ZonaMediatica,,"⚠️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/MTQ4EjoVjA",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
16,GrandesMedios,,⚠️ Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/K4xV6w37ef,False,"Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
17,MayoresUDP,"seggeriatria, seggeriatria","RT @seggeriatria: Prevención de Malos Tratos. Gema Rojo, miembro del Equipo de Liderazgo de la SEGG-@seggeriatria, nos ha representado en l…",True,Madrid,Prevención de Malos Tratos Gema Rojo miembro del Equipo de Liderazgo de la SEGG nos ha representado en l…,0.0
18,TraperoM,vemperiale,"RT @vemperiale: Inmunosenescencia, con la Dra. Valor: 
👵👴 Concepto de ""inflammaging""
Ojo con las similitudes entre nuestras enfermedades in…",True,"Madrid, Spain","Inmunosenescencia con la Dra Valor 
 Concepto de inflammaging
Ojo con las similitudes entre nuestras enfermedades in…",0.34
19,TeresaMarinello,sninobecerra,RT @sninobecerra: El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,True,Delegada Sindical d'UGT,El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,-0.5423
20,LaRedRevela,,"🔰 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/UzsGEYI4Fg",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
21,capoteedu,infosalus com,"RT @infosalus_com: La metformina tiene implicaciones inesperadas para el envejecimiento saludable

https://t.co/W4CrK1mIiF",True,Valencia Carabobo Venezuea,La metformina tiene implicaciones inesperadas para el envejecimiento saludable,0.4019
22,PLNucia,CRAlicante,"“Se lo cuento mejor a usted, que su madre no se va a enterar”. Aunque no lo sepas, es #Maltrato !! Elimina la costumbre de menospreciar a #PersonasMayores 👴🏽👵🏼 #BuenTratoCRE Gracias por esta concienciación! @CRAlicante 🙏💖😉 https://t.co/P3GZ1AV2bf",False,"La Nucia, España",“Se lo cuento mejor a usted que su madre no se va a enterar” Aunque no lo sepas es Maltrato  Elimina la costumbre de menospreciar a PersonasMayores  BuenTratoCRE Gracias por esta concienciación,0.3612
23,charrito 1979,UPLeones,"@UPLeones Salamanca no quiere aventuras raras. Si algo debe levantar Salamanca es la falta de oportunidades, la creciente inseguridad, el envejecimiento.",False,España vaciada #YoMeQuedo,Salamanca no quiere aventuras raras Si algo debe levantar Salamanca es la falta de oportunidades la creciente inseguridad el envejecimiento,-0.4325
24,JAVIERP54530597,sninobecerra,RT @sninobecerra: El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,True,Oviedo ,El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,-0.5423
25,TuitSugerido,,💡 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/cGLNVI0JGH,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
26,LaCronologia,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/aySICixg8G,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
27,DrJuanOvalles,vemperiale,"RT @vemperiale: Inmunosenescencia, con la Dra. Valor: 
👵👴 Concepto de ""inflammaging""
Ojo con las similitudes entre nuestras enfermedades in…",True,"Madrid, Spain","Inmunosenescencia con la Dra Valor 
 Concepto de inflammaging
Ojo con las similitudes entre nuestras enfermedades in…",0.34
28,PenalozaMicaela,yo gringoloco,RT @yo_gringoloco: Estudios demuestran que la falta de helicóptero causa envejecimiento prematuro. Seguiremos informando. #NoMasEvo https:/…,True,,Estudios demuestran que la falta de helicóptero causa envejecimiento prematuro Seguiremos informando NoMasEvo https…,-0.3182
29,Reportes24H,,🔰 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/r892smmDXg,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
30,elkampi,,Interesantes resultados. Esta sencilla prueba parece discriminar muy bien (con correlación moderada) el efecto del envejecimiento sobre control motor https://t.co/Q3oZnums9z,False,,Interesantes resultados Esta sencilla prueba parece discriminar muy bien con correlación moderada el efecto del envejecimiento sobre control motor,0.624
31,ontanonbodegas,PrensaRioja,RT @PrensaRioja: #vinosparanavidad Elaborado con un 95% tempranillo y un 5% graciano con maceración larga y envejecimiento durante 24 meses…,True,Logroño,vinosparanavidad Elaborado con un 95 tempranillo y un 5 graciano con maceración larga y envejecimiento durante 24 meses…,0.0
32,Mar63790065,sninobecerra,RT @sninobecerra: El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,True,"Barcelona, España",El problema no es el envejecimiento y el descenso de natalidad sino la baja productividad y una estructura de PIB basada…,-0.5423
33,Nuria23696834,labonitabicho,"RT @labonitabicho: El envejecimiento reducirá la renta de cada español en 6.500 euros hasta 2050 https://t.co/WX1L8Tw72r ,vox no quiere inm…",True,"Sant Gervasi Galvany, Barcelon",El envejecimiento reducirá la renta de cada español en 6500 euros hasta 2050  vox no quiere inm…,-0.0572
34,TarifaE,elEconomistaes,"RT @elEconomistaes: 👵👴 | El envejecimiento de la población en España provocará una caída de renta per cápita de 6.500 euros en 2050
https:/…",True,Barcelona (Spain),"El envejecimiento de la población en España provocará una caída de renta per cápita de 6500 euros en 2050
https…",0.0
35,Maury36406064,yo gringoloco,RT @yo_gringoloco: Estudios demuestran que la falta de helicóptero causa envejecimiento prematuro. Seguiremos informando. #NoMasEvo https:/…,True,,Estudios demuestran que la falta de helicóptero causa envejecimiento prematuro Seguiremos informando NoMasEvo https…,-0.3182
