,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,AndreaTRock,elbotiquinmx,"RT @elbotiquinmx: Si tienes 34 o más, lamentamos decirte que ya estás envejeciendo. https://t.co/JgfGQ131ee",True,"Lima, Perú.",Si tienes 34 o más lamentamos decirte que ya estás envejeciendo,-0.4728
1,Salrez77,elbotiquinmx,"RT @elbotiquinmx: Si tienes 34 o más, lamentamos decirte que ya estás envejeciendo. https://t.co/JgfGQ131ee",True,Apodaca N.L.,Si tienes 34 o más lamentamos decirte que ya estás envejeciendo,-0.4728
2,decidida2010,,INTERESANTE https://t.co/0Yhir45a5b https://t.co/0Yhir45a5b,False,,INTERESANTE,0.4019
3,InfoTextual,,🌀 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/yzq7Pks2dK,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
4,logocostarica,,"#ViernesdeSalud

Cuando haces los mismo todos los días de forma monótona, tu cerebro se puede relentizar a falta de estimulos y acelerar el envejecimiento, Por eso regálate experiencias nuevas que mantengan tu cerebro en forma!
#SentidodeVida
.
#Logoterapia #CostaRica #Psicología https://t.co/5JBawgt6Uw",False,Costa Rica,"ViernesdeSalud

Cuando haces los mismo todos los días de forma monótona tu cerebro se puede relentizar a falta de estimulos y acelerar el envejecimiento Por eso regálate experiencias nuevas que mantengan tu cerebro en forma
SentidodeVida

Logoterapia CostaRica Psicología",0.294
5,inigoalli,CEDDD ,"RT @CEDDD_: ✍️😁 Se amplia el plazo para presentar los trabajos de investigación en la I Edición de los premios ""Longevia"" https://t.co/b2bw…",True,PAM|MAD|CAN|CAT|VAL,Se amplia el plazo para presentar los trabajos de investigación en la I Edición de los premios Longevia …,0.5423
6,silpalexuam,genotipia,RT @genotipia: #ENTREVISTA Vicente Andrés García: “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pi…,True,"Distrito Federal, México",ENTREVISTA Vicente Andrés García “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pi…,0.0
7,TELEMUNDO52,,"La meta del proyecto es entender cómo los genes, el estilo de vida, la alimentación, los cuidados médicos y el ambiente influyen en el envejecimiento,
https://t.co/DD9lxTrLzD",False,"Los Angeles, California",La meta del proyecto es entender cómo los genes el estilo de vida la alimentación los cuidados médicos y el ambiente influyen en el envejecimiento,0.4939
8,miguelvilcheshi,"Comillas iuem, OBIMID","RT @Comillas_iuem: Ya está listo el nuevo informe de nuestros compañeros de @OBIMID 
""Políticas comparadas de envejecimiento y cuidados. Lo…",True,"Guanajuato, Gto. México.","Ya está listo el nuevo informe de nuestros compañeros de  
Políticas comparadas de envejecimiento y cuidados Lo…",0.6908
9,GiraInformativa,,"🌀 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/3XlNzW0GMx",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
10,rafaparducci,ppizarrog,"RT @ppizarrog: Este es un ejemplo de como al igual que el Estado disminuye gastos en 🏡contribuciones, 💊medicamentos y 🚌transporte, el secto…",True,,Este es un ejemplo de como al igual que el Estado disminuye gastos en contribuciones medicamentos y transporte el secto…,0.0
11,AnisioMor,"planetaseres, AnisioMor","RT @planetaseres: @AnisioMor ¡Ah! Lo del unto está bien. Yo no lo tengo, nunca me acuerdo de comprarlo. Divino. Mucho urbanita aun no se ha…",True,"Madrileño,,,de barrios obreros",¡Ah Lo del unto está bien Yo no lo tengo nunca me acuerdo de comprarlo Divino Mucho urbanita aun no se ha…,0.6908
12,gerardo narv,elbotiquinmx,"RT @elbotiquinmx: Si tienes 34 o más, lamentamos decirte que ya estás envejeciendo. https://t.co/JgfGQ131ee",True,México,Si tienes 34 o más lamentamos decirte que ya estás envejeciendo,-0.4728
13,lunadeoroazul,velvet bet,"RT @velvet_bet: Atención, asesorías, servicios, cultura, entretenimiento, son algunas de las cosas que puedes encontrar en nuestras Ferias…",True,,Atención asesorías servicios cultura entretenimiento son algunas de las cosas que puedes encontrar en nuestras Ferias…,0.7184
14,RepartoDigital,,🔵 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/hGy5tDb7j8,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
15,VickyAleph,elbotiquinmx,"RT @elbotiquinmx: Si tienes 34 o más, lamentamos decirte que ya estás envejeciendo. https://t.co/JgfGQ131ee",True,,Si tienes 34 o más lamentamos decirte que ya estás envejeciendo,-0.4728
16,planetaseres,AnisioMor,"@AnisioMor ¡Ah! Lo del unto está bien. Yo no lo tengo, nunca me acuerdo de comprarlo. Divino. Mucho urbanita aun no se ha enterado cuál es el motivo de la longevidad de que la gente que ha vivido o sigue viviendo en las aldeas. El caldo amigos. Lleva proteínas, verdura, fécula, legumbres...",False,"Sanabria.  Zamora, Spain",¡Ah Lo del unto está bien Yo no lo tengo nunca me acuerdo de comprarlo Divino Mucho urbanita aun no se ha enterado cuál es el motivo de la longevidad de que la gente que ha vivido o sigue viviendo en las aldeas El caldo amigos Lleva proteínas verdura fécula legumbres,0.8316
17,DianaPacios,,"El invierno demográfico de la UE: envejecimiento poblacional, caída de la natalidad y aumento de abortos.
¡Mataron a 52 millones de niños antes de que nazcan, en los últimos 30 años!
Sigan promoviendo la extinción de la especie humana ! https://t.co/jycW3YF7UL",False,"Ciudad Autónoma de Buenos Aires, Argentina","El invierno demográfico de la UE envejecimiento poblacional caída de la natalidad y aumento de abortos
¡Mataron a 52 millones de niños antes de que nazcan en los últimos 30 años
Sigan promoviendo la extinción de la especie humana",-0.296
18,mirta fortunato,nu TRIceci,"RT @nu_TRIceci: Nuevos conocimientos sobre envejecimiento.

✓Tenemos 3 ""oleadas"": a los 36 años, a los 60 y a los 78; debido a las ondulaci…",True,Valentin Alsina Bs As Argentin,"Nuevos conocimientos sobre envejecimiento

Tenemos 3 oleadas a los 36 años a los 60 y a los 78 debido a las ondulaci…",0.0
19,TeActualizas,,"🔷 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/f0WqYtBEG6",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
20,memonuevo,nu TRIceci,"RT @nu_TRIceci: Nuevos conocimientos sobre envejecimiento.

✓Tenemos 3 ""oleadas"": a los 36 años, a los 60 y a los 78; debido a las ondulaci…",True,,"Nuevos conocimientos sobre envejecimiento

Tenemos 3 oleadas a los 36 años a los 60 y a los 78 debido a las ondulaci…",0.0
21,DianaPacios,,"“Desde 1980, se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron. 
Es el equivalente a TODA la población Argentina 
Un holocausto. 
Resultado: envejecimiento poblacional https://t.co/8QvOWik4I6",False,"Ciudad Autónoma de Buenos Aires, Argentina","“Desde 1980 se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron 
Es el equivalente a TODA la población Argentina 
Un holocausto 
Resultado envejecimiento poblacional",0.0
22,angel 2433,nu TRIceci,"RT @nu_TRIceci: Nuevos conocimientos sobre envejecimiento.

✓Tenemos 3 ""oleadas"": a los 36 años, a los 60 y a los 78; debido a las ondulaci…",True,Granada y a veces Rapture,"Nuevos conocimientos sobre envejecimiento

Tenemos 3 oleadas a los 36 años a los 60 y a los 78 debido a las ondulaci…",0.0
23,juanitotmax,,"Juanito, El Abuelo Guerrero!!!
""Los Cuerpos de Lewy""
Vive el momento
Seguimos, nunca te rindas
Si se puede por un Envejecimiento Saludable!!! 
#excelvit #salud #sport https://t.co/YdupmhCc05",False,"Barcelona, España","Juanito El Abuelo Guerrero
Los Cuerpos de Lewy
Vive el momento
Seguimos nunca te rindas
Si se puede por un Envejecimiento Saludable 
excelvit salud sport",0.4019
24,juanitotmax,,"Juanito, El Abuelo Guerrero!!!
""Los Cuerpos de Lewy""
Vive el momento
Seguimos, nunca te rindas
Si se puede por un Envejecimiento Saludable!!! 
#excelvit #salud #sport https://t.co/EeZNI7EXbD",False,"Barcelona, España","Juanito El Abuelo Guerrero
Los Cuerpos de Lewy
Vive el momento
Seguimos nunca te rindas
Si se puede por un Envejecimiento Saludable 
excelvit salud sport",0.4019
25,todomecarga,,"Ayer habían miles de emprendimientos con el negro matapacos (peluches, pines, poleras, banderas, imanes, etc)Tiene que haber alguien que haga capuchas hermosas. Protestar y cubrirse del sol para prevenir el envejecimiento prematuro. The capuchería.",False,,Ayer habían miles de emprendimientos con el negro matapacos peluches pines poleras banderas imanes etcTiene que haber alguien que haga capuchas hermosas Protestar y cubrirse del sol para prevenir el envejecimiento prematuro The capuchería,0.4588
