id,stopwordcc,freq
0,proyecto,64
1,actividad,57
5,investigación,41
6,divulgación,39
7,actividades,38
8,actividad, 
9,actividades, 
10,científico, 
11,científica,
12,proyectos, 
13,desarrollo, 
14,diferentes, 
15,pretende, 
16,ello, 
17,cómo, 
18,centros, 
19,divulgación,  
9,general,32
10,centros,32
11,científicas,31
12,pretende,30
14,diferentes,27
15,través,27
16,desarrollo,24
19,objetivo,22
20,divulgación 
21,científica,21
21,cómo,21
24,instituto,20
25,do,19
26,forma,19
28,conocer,18
29,propuesta,18
30,ello,18
33,cabo,18
34,persona,18
35,dar,17
36,dar 
37,conocer,17
37,ser,17
38,además,17
39,acercar,17
40,formato,17
42,así,16
44,serie,16
47,años,16
56,trabajo,14
57,trata,14
59,mediante,14
60,manera,14
61,grupo,13
62,difusión,13
66,importancia,12
67,gran,12
68,cuenta,12
69,equipo,12
70,temas,12
72,interés,12
73,llevar,12
74,conceptos,12
77,debate,12
78,tema,11
80,objetivos,11
82,institutos,11
83,temática,11
85,proponemos,10
86,presente,10
87,primera,10
89,dirigida,10
90,propone,10
94,evento,10
97,edades,10
98,despertar,10
99,impulsar, 
100,divulgar, 
101,aprender, 
102,principado, 
103,concurrido, 
104,porque, 
105,csic, 
106,ciencia, 
107,centro, 
108,científicos, 
109,conocimiento, 
110,mundo, 
111,aspectos, 
112,aspecto, 
113,día, 
114,proceso, 
115,tipo, 
116,parte, 
117,consiste, 
118,público, 
119,participantes, 
120,cada, 
121,iniciativa, 
122,ciencias, 
123,dentro, 
124,sistema, 
125,sistemas, 
126,nacional, 
127,iniciativa, 
128,investigadores, 
129,programa, 
130,programas, 
140,contenido, 
150,colaboración, 
151,resultado, 
152,prueba, 
153,participación, 
154,ámbito, 
155,idea, 
156,ideas, 
157,divulgativo, 
158,resultados, 
159,toda, 
160,base, 
161,realizar, 
162,capaz, 
163,realización, 
164,largo, 
165,nueva, 
166,nuevo, 
167,nuevas, 
168,nuevos, 
169,objeto, 
170,objetos, 
